GRB	photon_index	photon_index_err	trigger_date	trigger_time	T90	z	ra	dec
080330	n/a	n/a	2008-03-30	03:41:16	61.0	1.51	11:17:02.12	+30:37:21.9
080405	1.8	0.48	2008-04-05	09:18:55.6	40.0	n/a	10:50:23.83	-04:17:18.5
080409	2.0	0.37	2008-04-09	01:22:57	20.2	n/a	05:37:19.28	+05:05:05.6
080411	1.9	0.0448999999999999	2008-04-11	21:15:32	56.0	1.03	02:31:54.93	-71:18:08.2
080413	1.9	0.0681	n/a	n/a	n/a	n/a	21:44:34.58	-19:58:51.9
080413A	2.1	0.2249999999999999	2008-04-13	02:54:19	46.0	2.433	19:09:11.70	-27:40:39.8
080426	2.0	0.21	2008-04-26	13:23:22	1.7	n/a	01:45:59.70	+69:28:06.5
080430	2.0	0.08435	2008-04-30	19:53:02	16.2	0.767	11:01:14.73	+51:41:07.9
080503	2.5	0.3	2008-05-03	12:26:13	170.0	n/a	19:06:28.62	+68:47:35.3
080506	2.2	0.08915	2008-05-06	17:46:21	150.0	n/a	21:57:41.73	+38:59:05.6
080507	2.3	0.885	2008-05-07	07:45:00	30.0	n/a	15:34:43.54	+56:26:07.4
080514	1.8	0.24	n/a	n/a	n/a	n/a	21:31:22.61	+00:42:29.6
080515	1.7	0.535	2008-05-15	06:01:13	21.0	2.47	00:12:39.18	+32:34:43.2
080516	2.3	0.31	2008-05-16	00:17:07	5.8	3.2	08:02:34.21	-26:09:35.0
080517	2.0	0.395	2008-05-17	21:22:51	64.6	0.089	06:48:58.03	+50:44:07.7
080520	2.1	0.315	2008-05-20	22:20:24	2.8	1.545	18:40:46.41	-54:59:30.6
080523	1.7	0.165	2008-05-23	21:21:51	102.0	n/a	01:23:11.49	-64:01:51.2
080602	1.8	0.0996	2008-06-02	01:30:28	74.0	1.8204	01:16:42.10	-09:13:56.5
080603	2.3	0.2299999999999999	2008-06-03	11:18:11	n/a	n/a	11:46:07.66	+68:03:38.3
080603A	2.3	0.2299999999999999	2008-06-03	11:18:11	180.0	1.688	18:37:37.88	+62:44:38.7
080604	1.6	0.145	2008-06-04	07:27:01	82.0	1.416	15:47:51.67	+20:33:28.0
080605	1.7	0.12	2008-06-05	23:47:57	20.0	1.6398	17:28:30.05	+04:00:55.4
080607	2.0	0.09565	2008-06-07	06:07:27	79.0	3.036	12:59:47.22	+15:55:09.9
080613	2.1	0.5549999999999999	n/a	n/a	n/a	n/a	11:35:11.49	-07:06:17.4
080613A	1.1	0.315	2008-06-13	09:35:21	30.0	n/a	14:13:05.07	+05:10:23.1
080623	2.0	0.16	2008-06-23	10:25:28	15.2	n/a	15:50:38.61	-62:02:56.4
080625	2.1	0.18	2008-06-25	12:28:31	80.0	n/a	19:53:37.04	+56:16:40.5
080701	2.7	0.42	2008-07-01	10:13:37	18.0	n/a	03:03:21.12	+75:28:29.5
080702	2.0	1.48	n/a	n/a	n/a	n/a	23:42:16.20	-05:30:46.8
080702A	2.3	0.865	2008-07-02	11:50:43	0.5	n/a	20:52:12.21	+72:18:46.5
080703	1.4	0.07925	2008-07-03	19:00:13	3.4	n/a	06:47:12.49	-63:13:09.3
080707	2.0	0.19	2008-07-07	08:27:53	27.1	1.23	02:10:28.41	+33:06:34.4
080710	2.0	0.12	2008-07-10	07:13:10	120.0	0.845	00:33:05.63	+19:30:05.5
080714	1.7	0.255	2008-07-14	17:52:56	33.0	n/a	12:32:25.39	-60:16:40.0
080721	1.9	0.05585	2008-07-21	10:25:16	16.2	2.591	14:57:55.84	-11:43:24.3
080723	1.8	0.2299999999999999	n/a	n/a	n/a	n/a	11:47:20.07	-60:14:27.8
080723A	2.1	0.255	2008-07-23	04:19:24	17.3	n/a	18:17:57.73	-06:53:58.3
080727	1.3	0.345	n/a	n/a	n/a	n/a	18:27:26.11	+01:09:45.6
080727A	1.4	0.245	2008-07-27	05:57:39	4.9	n/a	13:53:33.82	-18:32:40.2
080727C	1.7	0.31	2008-07-27	23:07:35	79.7	n/a	02:10:31.96	+64:08:14.3
080802	2.3	0.49	2008-08-02	15:12:21	176.0	n/a	18:02:54.42	-32:20:02.0
080804	1.7	0.0948	2008-08-04	23:20:14	34.0	2.2045	21:54:40.14	-53:11:05.4
080805	2.0	0.25	2008-08-05	07:41:34	78.0	1.505	20:56:53.42	-62:26:40.3
080810	2.0	0.105	2008-08-10	13:10:12	106.0	3.35	23:47:10.53	+00:19:10.8
080825	2.4	0.34	n/a	n/a	n/a	n/a	13:56:48.25	-68:57:17.5
080828	2.9	1.45	n/a	n/a	25.0	n/a	13:18:21.03	-65:56:24.5
080903	1.4	0.19	2008-09-03	01:12:23	66.0	n/a	05:47:10.14	+51:15:51.2
080905	1.8	0.09755	n/a	n/a	n/a	n/a	20:06:57.93	-62:33:46.7
080905A	1.4	0.29	2008-09-05	11:58:54	1.0	n/a	19:10:41.79	-18:52:48.4
080906	2.0	0.175	2008-09-06	13:33:16	147.0	n/a	15:12:10.69	-80:31:04.3
080913	1.7	0.215	2008-09-13	06:46:54	8.0	6.695	04:22:54.71	-25:07:46.7
080915A	3.0	1.135	2008-09-15	00:02:49	14.0	n/a	01:11:48.45	-76:01:13.9
080916	1.6	0.365	2008-09-16	09:45:20	n/a	n/a	10:54:39.72	+69:03:56.9
080916A	1.8	0.14	2008-09-16	09:45:20	60.0	0.6887	22:25:06.32	-57:01:22.7
080916C	1.9	0.42	2008-09-16	00:12:45	66.0	4.35	07:59:23.35	-56:38:18.3
080919	2.9	0.8	2008-09-19	00:05:13	0.6	n/a	17:40:53.83	-42:22:05.8
080928	2.1	0.1	2008-09-28	15:01:32	280.0	1.692	06:20:16.80	-55:11:58.9
081001	2.1	0.7849999999999999	2008-10-01	21:17:42	30.0	n/a	18:26:21.79	-08:43:08.1
081003A	3.6	1.35	2008-10-03	13:46:12	30.0	n/a	17:29:33.64	+16:34:13.8
081007	2.0	0.14	2008-10-07	05:23:52	10.0	0.5295	22:39:50.49	-40:08:49.1
081008	1.9	0.1028999999999999	2008-10-08	19:58:09	185.5	1.9685	18:39:49.95	-57:25:53.7
081011	2.1	0.24	2008-10-11	00:28:50	9.0	n/a	14:41:22.63	+33:32:37.4
081012	1.5	0.53	2008-10-12	13:10:23	29.0	n/a	02:00:48.15	-17:38:17.6
081016	1.8	0.43	n/a	n/a	n/a	n/a	00:58:15.40	-43:31:47.9
081016A	2.4	0.7450000000000001	2008-10-16	06:51:31	34.0	n/a	17:02:16.89	-23:20:08.3
081024A	1.8	0.72	2008-10-24	05:53:0	1.8	n/a	01:51:29.84	+61:19:52.5
081025	2.0	2.1	2008-10-25	08:22:02	23.0	n/a	16:21:27.93	+60:28:32.2
081028	2.0	0.0668499999999999	2008-10-28	00:25:00	n/a	n/a	08:07:34.72	+02:18:29.4
081029	1.9	0.09345	2008-10-29	01:43:56	270.0	3.8479	23:07:05.57	-68:09:20.3
081102	1.9	0.0975	2008-11-02	17:44:39	63.0	n/a	22:04:41.52	+52:59:39.9
081104	4.6	0.7949999999999999	2008-11-04	09:34:42	59.1	n/a	06:41:57.11	-54:43:11.4
081105	3.1	1.2	2008-11-05	13:26:12	n/a	n/a	00:15:48.36	+03:28:05.9
081109	1.9	0.105	2008-11-09	07:01:55.503	190.0	n/a	22:03:09.74	-54:42:41.3
081118	2.4	0.26	2008-11-18	14:56:36	67.0	2.58	05:30:22.12	-43:18:04.3
081121	1.9	0.0802	2008-11-21	20:35:32	14.0	2.512	05:57:06.14	-60:36:10.5
081126	2.0	0.0832	2008-11-26	21:34:10	54.0	n/a	21:34:03.54	+48:42:37.3
081127	2.2	0.21	2008-11-27	07:05:08	37.0	n/a	22:08:15.42	+06:51:02.4
081128	1.6	0.16345	2008-11-28	17:18:44	100.0	n/a	01:23:13.13	+38:07:38.9
081203	2.0	0.1	2008-12-03	13:57:11	294.0	2.1	15:15:11.66	+44:25:43.1
081204	2.6	1.25	2008-12-04	16:44:55	n/a	n/a	23:19:09.13	-60:13:27.8
081210	1.9	0.14	2008-12-10	20:19:34	146.0	2.0631	04:41:56.13	-11:15:26.0
081211	2.3	0.29	n/a	n/a	n/a	n/a	21:52:28.01	-33:50:09.3
081221	2.2	0.0985	2008-12-21	16:21:11	34.0	2.26	01:03:10.26	-24:32:52.8
081222	1.9	0.0711499999999999	2008-12-22	04:53:59	24.0	2.77	01:30:57.72	-34:05:42.8
081224	2.9	2.05	n/a	n/a	10.3	n/a	14:12:35.87	+74:11:59.0
081226A	3.3	1.7000000000000002	2008-12-26	01:03:37	0.4	n/a	08:02:00.35	-69:01:46.0
081228	2.0	0.51	2008-12-28	01:17:40	3.0	3.8	02:37:50.96	+30:51:10.0
081230	2.0	0.165	2008-12-30	20:36:12	60.7	n/a	02:29:19.53	-25:08:50.6
090102	1.7	0.08225	2009-01-02	02:55:45	27.0	1.547	08:32:58.48	+33:06:50.4
090107	1.6	0.26	n/a	n/a	n/a	n/a	18:59:16.12	+59:35:42.9
090111	2.6	0.24	2009-01-11	23:58:21	24.8	n/a	16:46:42.03	+00:04:38.4
090113	2.2	0.235	2009-01-13	18:40:39	9.1	1.7493	02:08:13.76	+33:25:43.1
090117	2.5	0.915	2009-01-17	15:21:54	n/a	n/a	10:56:10.45	-58:13:59.8
090118	1.5	0.665	2009-01-18	13:54:02	16.0	n/a	03:19:18.79	+18:24:54.8
090123	1.7	0.1049	2009-01-23	07:51:56	131.0	n/a	00:27:08.69	-23:30:04.3
090126A	2.0	0.245	2009-01-26	02:01:15	n/a	n/a	00:14:38.32	+81:22:24.2
090201	2.1	0.09165	2009-02-01	17:47:02	83.0	2.1	06:08:12.53	-46:35:24.7
090205	2.0	0.135	2009-02-05	23:03:14	8.8	4.6497	14:43:38.63	-27:51:10.7
090306	n/a	n/a	n/a	n/a	n/a	n/a	15:24:49.99	-06:58:04.4
090307	2.0	0.585	n/a	n/a	n/a	n/a	16:19:58.55	-28:38:01.3
090308	2.2	0.435	n/a	n/a	n/a	n/a	12:14:00.07	-48:49:01.0
090309	2.1	0.32	n/a	n/a	n/a	n/a	18:59:53.70	-25:15:41.1
090313	2.0	0.165	2009-03-13	09:06:27	79.0	3.375	13:13:36.23	+08:05:49.7
090323	1.9	0.275	2009-03-23	00:02:42.63	150.0	3.57	12:42:50.33	+17:03:12.8
090328A	1.6	0.31	2009-03-28	09:36:46	n/a	n/a	06:02:39.72	-41:52:57.3
090401	1.9	0.105	n/a	n/a	n/a	n/a	06:20:21.12	-08:58:20.2
090404	2.3	0.11	2009-04-04	15:56:30	84.0	n/a	15:56:57.49	+35:30:57.4
090407	2.3	0.12	2009-04-07	10:28:25	310.0	1.4485	04:35:55.08	-12:40:45.0
090417	2.0	0.12	n/a	n/a	n/a	n/a	13:58:46.66	+47:01:04.5
090418A	2.0	0.09125	2009-04-18	11:07:40	56.0	1.608	17:57:15.18	+33:24:21.1
090419	1.0	0.28	2009-04-19	13:43:31	450.0	n/a	13:07:42.66	-75:36:20.2
090422	2.3	0.225	2009-04-22	03:35:16	8.5	n/a	19:38:59.85	+40:23:02.8
090423	1.7	0.13	2009-04-23	07:55:19	10.3	8.26	09:55:33.29	+18:08:59.8
090424	1.9	0.09355	2009-04-24	14:12:09	48.0	0.544	12:38:05.11	+16:50:15.4
090426	2.0	0.155	2009-04-26	12:48:47	1.2	2.609	12:36:18.07	+32:59:09.3
090429	2.0	0.25	n/a	n/a	n/a	n/a	14:02:40.12	+32:10:14.0
090429A	2.3	0.5900000000000001	2009-04-29	04:53:39	188.0	n/a	06:02:13.28	-52:23:14.5
090510	1.7	0.12	2009-05-10	00:23:00	0.3	0.903	22:14:12.60	-26:34:59.3
090515	2.8	1.21	2009-05-15	04:45:09	0.036	n/a	10:56:36.31	+14:26:30.1
090516	2.0	0.07185	2009-05-16	08:27:20.203	n/a	n/a	09:13:02.61	-11:51:15.7
090518	2.5	0.225	2009-05-18	01:54:44	6.9	n/a	07:59:49.08	+00:45:34.0
090519	1.4	0.195	2009-05-19	21:08:56	64.0	3.85	09:29:06.97	+00:10:49.2
090529	2.1	0.135	2009-05-29	14:12:35	100.0	2.625	14:09:52.50	+24:27:33.5
090530	1.9	0.13	2009-05-30	03:18:18	48.0	1.266	11:57:40.48	+26:35:37.3
090531	2.5	1.7	n/a	n/a	n/a	n/a	16:48:17.90	-36:02:03.8
090531A	0.81	0.7	2009-05-31	01:45:17	32.0	n/a	11:54:45.58	+07:44:19.3
090607	2.2	0.565	2009-06-07	05:30:17	2.3	n/a	12:44:40.24	+44:06:20.9
090618	1.9	0.0453	2009-06-18	08:28:29	113.2	0.54	19:35:58.48	+78:21:24.5
090621	3.2	1.25	n/a	n/a	n/a	n/a	20:53:53.17	+69:01:41.4
090621A	2.1	0.22	2009-06-21	04:22:43	n/a	n/a	00:44:05.09	+61:56:27.7
090625	2.7	0.5549999999999999	n/a	n/a	51.0	n/a	00:09:03.42	-65:46:49.3
090628	1.5	0.43	2009-06-28	21:20:12	20.1	n/a	15:48:12.72	-15:59:04.2
090702	1.7	0.55	2009-07-02	10:40:37	n/a	n/a	11:43:35.25	+11:30:07.9
090709A	1.8	0.07125	2009-07-09	07:38:34	89.0	1.8	19:19:42.43	+60:43:38.9
090715	2.0	0.1149999999999999	n/a	n/a	n/a	n/a	16:45:21.59	+44:50:20.1
090720	2.3	0.515	2009-07-20	06:38:08	7.0	n/a	13:34:43.27	-10:20:05.1
090726	2.3	0.185	2009-07-26	22:42:27	67.0	2.71	16:34:43.22	+72:53:03.3
090727	1.8	0.13	2009-07-27	22:42:18	302.0	n/a	21:03:50.78	+64:55:29.7
090728	1.8	0.155	2009-07-28	14:45:45	59.0	n/a	01:58:36.65	+41:37:59.4
090807	2.3	0.185	2009-08-07	15:00:27	140.8	n/a	18:14:58.58	+10:15:57.3
090809	1.9	0.105	2009-08-09	17:31:14	5.4	2.737	21:54:43.31	-00:05:00.7
090812	1.8	0.14	2009-08-12	06:02:08	66.7	2.452	23:32:48.55	-10:36:18.9
090813	1.9	0.09595	2009-08-13	04:10:43	7.1	n/a	15:03:08.14	+88:34:05.8
090814	1.7	0.11695	2009-08-14	00:52:19	80.0	n/a	15:58:26.44	+25:37:52.4
090817	2.2	0.5700000000000001	2009-08-17	00:51:33	220.0	n/a	04:15:51.78	+44:07:43.5
090823	2.4	1.35	2009-08-23	16:11:12	n/a	n/a	08:34:42.95	+60:39:01.9
090827	1.2	0.66	2009-08-27	19:06:26	7.0	n/a	01:13:48.39	-50:53:47.2
090831C	1.9	0.165	2009-08-31	21:30:25	3.3	n/a	07:13:10.63	-25:07:07.2
090902	1.8	0.135	n/a	n/a	n/a	n/a	17:39:45.37	+27:19:26.3
090904	1.9	0.28	n/a	n/a	n/a	n/a	17:36:44.53	-25:12:45.8
090904A	1.6	0.145	2009-09-04	01:01:06	122.0	n/a	06:43:32.24	+50:12:12.7
090912	2.1	0.165	2009-09-12	15:50:29	144.0	n/a	12:32:10.25	+61:29:04.3
090915	1.2	0.655	2009-09-15	15:35:36	8.0	n/a	15:52:04.86	+15:29:15.0
090926	2.0	0.145	2009-09-26	04:20:26.99	n/a	n/a	03:05:13.92	-39:00:22.2
090926A	2.0	0.145	2009-09-26	04:20:26.99	n/a	2.1062	23:33:36.09	-66:19:26.0
090927	2.0	0.185	2009-09-27	10:07:16	2.2	1.37	22:55:53.44	-70:58:48.7
090929	1.9	0.135	n/a	n/a	n/a	n/a	07:50:52.82	-00:39:27.4
091003	1.7	0.17	2009-10-03	04:35:45.58	21.1	0.8969	16:46:04.73	+36:37:31.1
091010	2.0	0.41	2009-10-10	02:43:09	10.0	n/a	19:54:39.74	-22:31:04.6
091018	1.9	0.08065	2009-10-18	20:48:19	4.4	0.971	02:08:44.47	-57:32:53.8
091020	2.0	0.07775	2009-10-20	21:36:44	34.6	1.71	11:42:55.15	+50:58:42.2
091024	1.5	0.225	2009-10-24	08:56:01	109.8	1.092	22:36:59.96	+56:53:23.2
091026	2.0	0.165	2009-10-26	13:11:30	41.6	n/a	18:26:17.73	-86:06:40.8
091029	2.1	0.0853	2009-10-29	03:53:22	39.2	2.752	04:00:42.57	-55:57:19.3
091102	2.7	1.08	2009-11-02	14:34:38	6.6	n/a	04:50:28.69	-72:31:09.6
091104	2.3	0.18	2009-11-04	08:49:22	99.3	n/a	13:55:01.34	+47:24:38.3
091109	1.9	0.165	2009-11-09	04:57:43	n/a	n/a	07:30:56.49	-54:05:24.3
091109A	1.9	0.165	2009-11-09	04:57:43	48.0	3.076	20:37:01.86	-44:09:30.5
091111	1.2	0.895	2009-11-11	15:21:59	100.0	n/a	09:11:18.05	-45:55:31.8
091127	1.7	0.1	2009-11-27	23:25:45	7.1	0.49	02:26:19.87	-18:57:09.3
091130	2.3	0.145	n/a	n/a	n/a	n/a	13:32:35.54	+34:05:19.8
091202	2.2	1.1	2009-12-02	23:10:12	50.0	n/a	09:15:19.96	+62:32:58.7
091208	2.0	0.125	n/a	n/a	n/a	n/a	01:57:34.09	+16:53:23.4
091221	1.7	0.27	2009-12-21	20:52:52	68.5	n/a	03:43:11.41	+23:14:28.9
091230	2.7	0.54	2009-12-30	06:27:30	120.0	n/a	08:51:38.98	-53:53:53.9
100103A	2.7	0.32	2010-01-03	17:42:32	50.0	n/a	07:29:29.49	-34:29:23.7
100111A	1.9	0.185	2010-01-11	04:12:49	12.9	n/a	16:28:11.61	+15:33:02.6
100115A	2.0	0.845	2010-01-15	11:15:19	n/a	n/a	00:13:28.03	-00:49:36.0
100117A	2.8	0.605	2010-01-17	21:06:19	0.3	n/a	00:45:04.58	-01:35:46.6
100205A	1.9	0.265	2010-02-05	04:18:43	26.0	n/a	09:25:33.07	+31:44:24.4
100206A	2.0	1.4500000000000002	2010-02-06	13:30:05	0.12	n/a	03:08:39.00	+13:09:25.2
100212A	2.7	0.145	2010-02-12	14:07:22	136.0	n/a	23:45:40.31	+49:29:39.7
100213	2.0	0.5700000000000001	n/a	n/a	n/a	n/a	08:17:07.85	+43:26:54.0
100213A	2.9	1.4500000000000002	2010-02-13	22:27:48	2.4	n/a	23:17:33.90	+43:22:44.6
100219A	1.6	0.10275	2010-02-19	15:15:46	18.8	4.6667	10:16:48.48	-12:34:00.0
100302A	1.9	0.15	2010-03-02	19:53:06	17.9	4.813	13:02:03.65	+74:35:22.5
100305A	2.0	0.16	2010-03-05	09:05:38	69.7	n/a	11:13:28.08	+42:24:13.9
100316	2.2	0.2299999999999999	n/a	n/a	n/a	n/a	10:53:57.18	-45:28:20.7
100316A	2.1	0.505	2010-03-16	02:23:00	7.0	3.155	16:47:54.60	+71:49:36.4
100316C	1.8	0.415	2010-03-16	08:57:59	9.3	n/a	02:09:09.06	-67:59:29.0
100316D	2.4	1.6	2010-03-16	12:44:50	240.0	0.059	07:10:30.78	-56:15:18.8
100331	1.9	0.38	n/a	n/a	n/a	n/a	20:12:05.16	-11:06:30.1
100413A	1.9	0.11	2010-04-13	17:33:28	191.0	n/a	17:44:53.17	+15:50:02.9
100414A	1.5	0.4599999999999999	2010-04-14	02:20:21	26.4	1.368	12:48:26.92	+08:41:35.1
100418A	2.3	0.275	2010-04-18	21:10:08	7.0	0.6235	17:05:27.19	+11:27:39.8
100420A	2.0	0.215	2010-04-20	05:22:42	48.0	n/a	19:44:30.67	+55:46:09.3
100424A	1.5	0.16	2010-04-24	16:32:42	104.0	2.465	13:57:47.51	+01:32:18.3
100425A	2.3	0.13	2010-04-25	02:50:45	37.0	1.755	19:56:47.19	-26:25:50.7
100504A	2.9	0.505	2010-05-04	19:20:59	97.3	n/a	17:02:17.17	-35:35:13.8
100508A	1.4	0.1149999999999999	2010-05-08	09:20:42	52.0	0.5201	05:04:58.98	-20:42:41.8
100513A	2.2	0.17	2010-05-13	02:07:08	84.0	4.772	11:18:26.83	+03:37:40.8
100514A	2.5	0.29	2010-05-14	18:53:58	26.2	n/a	21:55:17.44	+29:09:35.4
100518A	3.0	0.7849999999999999	2010-05-18	11:33:35	30.0	4.0	20:19:09.39	-24:33:16.1
100522A	2.3	0.13	2010-05-22	03:45:52	35.3	n/a	00:27:56.79	+09:24:05.8
100526	1.5	0.8400000000000001	n/a	n/a	n/a	n/a	00:02:56.59	-37:54:48.9
100526A	2.3	0.195	2010-05-26	16:26:10	102.0	n/a	15:23:04.60	+25:37:55.9
100528A	2.3	0.28	2010-05-28	01:48:05	24.6	n/a	20:44:33.96	+27:48:23.9
100606A	1.8	0.16	2010-06-06	19:12:41	480.0	n/a	23:22:30.49	-66:14:29.2
100614A	1.9	0.165	2010-06-14	21:38:26	225.0	n/a	17:33:59.87	+49:14:02.4
100615A	2.2	0.155	2010-06-15	01:59:03	39.0	1.398	11:48:49.28	-19:28:51.8
100619A	2.2	0.125	2010-06-19	00:21:07	97.5	n/a	05:38:29.32	-27:00:18.5
100621A	2.3	0.1149999999999999	2010-06-21	03:03:32	63.6	0.542	21:01:13.18	-51:06:23.2
100625A	2.5	0.545	2010-06-25	18:32:28	0.33	n/a	01:03:10.95	-39:05:18.5
100628A	n/a	n/a	2010-06-28	08:16:40	0.036	n/a	15:03:53.58	-31:39:50.4
100702A	2.4	0.49	2010-07-02	01:03:47	0.16	n/a	16:22:47.24	-56:31:53.1
100704A	2.1	0.09925	2010-07-04	03:35:08	197.5	n/a	08:54:33.95	-24:12:09.9
100713A	2.1	0.61	2010-07-13	14:36:06	20.0	n/a	17:00:48.32	+28:23:39.7
100724A	1.9	0.225	2010-07-24	00:42:19	1.4	1.288	12:58:10.38	-11:06:09.3
100725	2.6	0.185	n/a	n/a	n/a	n/a	19:20:07.95	+76:57:23.1
100725A	1.8	0.395	2010-07-25	07:12:52	141.0	n/a	11:05:55.59	-26:40:12.6
100727A	2.1	0.145	2010-07-27	05:42:17	84.0	n/a	10:16:42.67	-21:23:25.3
100728	2.0	0.17	n/a	n/a	n/a	n/a	02:56:13.44	+00:16:51.6
100728A	1.8	0.0653	2010-07-28	02:18:24	198.5	1.567	05:55:02.00	-15:15:20.2
100802A	2.1	0.18	2010-08-02	05:45:36	487.0	n/a	00:09:52.56	+47:45:16.6
100805A	2.1	0.09455	2010-08-05	04:12:42	15.0	n/a	19:59:30.55	+52:37:40.3
100807A	1.8	0.255	2010-08-07	09:13:13	7.9	n/a	03:41:12.17	+67:40:17.6
100814A	1.8	0.04925	2010-08-14	03:50:11	174.5	1.44	01:29:53.58	-17:59:43.9
100816A	1.9	0.17	2010-08-16	00:37:51	2.9	0.804	23:26:57.61	+26:34:42.2
100823A	2.1	0.255	2010-08-23	17:25:35	16.9	n/a	01:22:49.02	+05:50:05.1
100901A	2.1	0.0773	2010-09-01	13:34:10	439.0	1.408	01:49:03.49	+22:45:30.3
100902A	2.3	0.165	2010-09-02	19:31:54	428.8	n/a	03:14:31.01	+30:58:43.7
100905A	1.9	0.195	2010-09-05	15:08:14	3.4	7.9	02:06:12.06	+14:55:45.8
100906A	2.0	0.0717	2010-09-06	13:49:27	114.4	1.727	01:54:44.09	+55:37:49.5
100909A	2.3	0.755	2010-09-09	09:04:00	n/a	n/a	04:55:47.72	+54:39:28.4
100915A	1.7	0.205	2010-09-15	01:31:05	200.0	n/a	21:02:46.86	+65:40:23.0
101008A	1.9	0.47	2010-10-08	16:43:15	104.0	n/a	21:55:30.05	+37:04:01.7
101011A	1.7	0.28	2010-10-11	16:58:35	71.5	n/a	03:13:10.54	-65:58:54.5
101017A	1.7	0.275	2010-10-17	10:32:47	70.0	n/a	19:25:32.50	-35:08:42.4
101023A	2.1	0.105	2010-10-23	22:50:12	80.8	n/a	21:11:51.33	-65:23:16.9
101024A	1.8	0.115	2010-10-24	11:39:29.82	18.7	n/a	04:26:01.25	-77:15:55.1
101030A	2.0	0.2	2010-10-30	15:56:29	92.0	n/a	11:05:31.64	-16:22:41.8
101112A	2.0	0.355	2010-11-12	22:10:24	10.0	n/a	19:28:54.88	+39:21:08.7
101114A	2.2	0.645	2010-11-14	00:32:50	10.0	n/a	20:12:50.68	+14:01:57.6
101117	2.1	0.19	n/a	n/a	n/a	n/a	11:32:00.46	-72:39:46.4
101201A	2.1	0.55	2010-12-01	10:01:48	79.0	n/a	00:07:52.22	-16:11:06.7
101204A	2.0	0.2199999999999999	2010-12-04	23:53:29	10.0	n/a	11:10:08.81	-20:25:11.8
101213A	2.5	0.165	2010-12-13	10:49:23	135.0	0.414	16:05:15.27	+21:53:50.5
101219	1.8	0.10475	n/a	n/a	n/a	n/a	00:48:55.40	-34:33:59.9
101219A	1.5	0.25	2010-12-19	02:31:29	0.6	0.718	04:58:20.46	-02:32:23.1
101224A	n/a	n/a	2010-12-24	05:27:13	0.2	n/a	19:03:41.72	+45:42:49.5
101225A	1.8	0.04685	2010-12-25	18:37:45	1088.0	0.847	00:00:47.50	+44:36:01.3
110102A	2.1	0.06575	2011-01-02	18:52:25	264.0	n/a	16:23:31.43	+07:36:49.8
110106	2.0	0.175	n/a	n/a	n/a	n/a	08:56:37.07	+47:00:09.0
110106A	2.6	0.505	2011-01-06	15:25:16	4.3	n/a	05:17:13.48	+64:10:25.2
110107A	3.5	1.65	2011-01-07	21:15:51	100.0	n/a	19:59:38.22	+41:54:52.4
110112A	2.3	0.4499999999999999	2011-01-12	04:12:18	0.5	n/a	21:59:43.75	+26:27:24.1
110119A	2.1	0.14	2011-01-19	22:20:58	208.0	n/a	23:14:20.59	+05:59:09.9
110128A	1.7	0.1699999999999999	2011-01-28	01:44:33	30.7	2.339	12:55:35.15	+28:03:53.3
110201A	1.7	0.295	2011-02-01	09:35:08	13.0	n/a	09:10:18.86	+88:36:22.3
110205A	1.8	0.0759	2011-02-05	02:02:41	257.0	2.22	10:58:31.06	+67:31:30.4
110206A	2.0	0.295	2011-02-06	18:08:05	20.0	n/a	06:09:20.19	-58:48:24.8
110208A	1.9	0.2299999999999999	2011-02-08	21:10:46	37.4	n/a	01:29:50.91	-20:35:33.6
110210A	2.0	0.135	2011-02-10	09:52:41	233.0	n/a	00:52:13.60	+07:46:47.2
110213	2.4	0.78	n/a	n/a	n/a	n/a	02:47:01.55	+01:08:44.6
110213A	2.0	0.0390999999999999	2011-02-13	05:17:29	48.0	1.46	02:51:51.41	+49:16:23.0
110223	1.8	0.10805	n/a	n/a	n/a	n/a	10:00:55.82	-68:18:05.9
110223A	2.0	0.255	2011-02-23	20:56:59	7.0	n/a	23:03:22.68	+87:33:28.5
110305A	2.0	0.3299999999999999	2011-03-05	06:38:01	12.0	n/a	17:23:31.34	-15:48:09.4
110312A	2.2	0.205	2011-03-12	17:55:37	28.7	n/a	10:29:55.45	-05:15:44.7
110315A	2.1	0.08955	2011-03-15	23:57:04	77.0	n/a	18:36:46.89	+17:32:19.4
110318	2.3	0.35	n/a	n/a	n/a	n/a	14:06:42.75	-51:34:44.2
110319	2.3	0.835	n/a	n/a	n/a	n/a	21:44:22.92	-56:46:56.4
110319A	2.2	0.155	2011-03-19	02:16:41	19.3	n/a	23:46:00.62	-66:00:40.2
110402A	2.1	0.265	2011-04-02	00:12:57	60.9	n/a	13:09:36.58	+61:15:09.2
110407A	1.7	0.21	2011-04-07	14:06:41	145.0	n/a	12:24:07.58	+15:42:42.2
110411A	2.9	0.245	2011-04-11	19:34:11	80.3	n/a	19:25:46.14	+67:42:41.5
110414A	2.3	0.1061999999999999	2011-04-14	07:42:14	152.0	n/a	06:31:29.43	+24:21:45.4
110420A	2.0	0.08	2011-04-20	11:02:24	11.8	n/a	00:08:39.34	-37:53:11.4
110422A	1.8	0.0674	2011-04-22	15:41:55	25.9	1.77	07:28:11.37	+75:06:25.1
110428A	n/a	n/a	n/a	n/a	n/a	n/a	00:22:22.89	+64:50:56.7
110503A	1.9	0.0612999999999999	2011-05-03	17:35:45	10.0	1.613	08:51:06.29	+52:12:27.4
