Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	
 -9.  -9.     90979.2	 -9. 960.0	 IC 18.12  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     90979.2	 -9. 960.0	 RC 18.53  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     91497.6	 -9. 1840.0	 VJ 18.86  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     91514.9	 -9. 1920.0	 BJ 19.19  0.06	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     92041.9	 -9. 960.0	 RC 18.54  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     92059.2	 -9. 960.0	 IC 18.11  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     92085.1	 -9. 730.1	 u  18.67  0.05	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     93113.3	 -9. 960.0	 RC 18.67  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     93139.2	 -9. 960.0	 IC 18.13  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     93649.0	 -9. 1920.0	 BJ 19.14  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     93649.0	 -9. 1840.0	 VJ 18.88  0.09	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     94176.0	 -9. 960.0	 RC 18.56  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     94193.3	 -9. 880.0	 IC 18.08  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
