GRB	GCN	Telescope
050215	3051	2.0m-Faulkes-North
050215	3026	Swift/UVOT
050215	3033	automated-Palomar-60inch
050215	3030	Lulin-1m
050215	3025	Swift/UVOT
050215	3037	Swift/UVOT
050223	3057	Swift/UVOT
050223	3061	Swift/UVOT/-0.6m
050223	3067	PROMPT
050223	5283	Magellan/Clay
050315	3294	La-silla/1.54m-Danish
050315	3095	Swift/UVOT
050315	3104	1.3m-CTIO
050315	3103	CTIO-4m-Blanco
050315	3110	1.3m-CTIO
050318	3114	Magellan/Baade-IMACS
050318	3122	Magellan/Baade-IMACS
050318	3115	Swift/UVOT
050319	3454	USNOFS-1.0m
050319	3142	152cm-G.D.-Cassini
050319	3140	1.5m-Maidanak
050319	3130	ARIES-NainiTal/1.04m
050319	3129	Swift/UVOT
050319	3126	Physical-Research-Laboratory-Gurushikar/1.2m
050319	3125	Physical-Research-Laboratory-Gurushikar/1.2m
050319	3124	Mt.Maidanak-high-altitude-observatory/1.5m
050319	3121	ART-14-inch
050319	3120	1.05m,Lulin-1m
050319	3118	University_of_Miyazaki/30cm
050319	3136	NOT+ALFOSC
050401	3233	ART-14-inch
050401	3175	ARIES-NainiTal/-1.04m
050401	3174	1.5m-Maidanak
050401	3164	40-inch-SSO
050401	3163	40-inch-SSO
050401	3319	152cm-G.D.Cassini
050406	3182	Swift/UVOT
050406	3185	Magellan/Clay-LDSS-3
050406	3186	Swift/UVOT
050408	3215	Subaru-8.2m
050408	3216	2m-ROBONET
050408	3228	PROMPT
050408	3232	ART-14-inch
050408	3258	1.5m-Kuiper
050408	3561	ARC-3.5m
050408	3262	Russian-Turkish-1.5m
050408	3227	Swift/UVOT
050408	3261	1.5m-MAO
050408	3213	4.1m-diam-SOAR
050408	3197	6m-SAO-RAS
050408	3208	CTIO/1.3m
050408	3207	Kiso/1.05m-Schmidt
050408	3206	**WARNING**
050408	3205	La-silla/REM-IR,ROSS
050408	3203	University_of_Miyazaki/30cm
050408	3201	Magellan/Clay-LDSS-3
050408	3200	La-Palma/1.2m-Mercator
050408	3199	Magellan/Baade-IMACS
050408	3198	Russian-Turkish-1.5m
050408	3211	La-Palma/1.2m-Mercator
050408	3196	Lulin-One-m
050408	3195	50cm-Mitsume
050408	3192	Special-Astrophysical-observatory/1m,6m
050408	3188	MASTER-Vostrykovo
050416	3542	10m-Keck-I
050416	3312	MAGNUM-MIP-dual-beam-optical-NIR
050416	3276	Swift/UVOT
050416	3280	Swift/UVOT
050416	3290	1.52cm-G.D.Cassini
050416	3266	ANU-2.3m
050416	3286	XingLong/0.8m
050416	3272	ART-14-inch
050416	3287	3-color-Mitsume-50cm
050416	3274	1.5m-MAO
050416	3270	KAIT
050416	3271	University_of_Miyazaki/-30cm
050416	3265	Palomar-60inch
050416	3282	Swope-40-inch,LCO/du-Pont-100-inch,Magellan/Baade-IMACS
050416	3283	Swope-40-inch,LCO/du-Pont-100-inch,Magellan/Baade-IMACS
050416	3285	0.6m-BOOTES-IR
050416	3269	Palomar-200inch-Hale
050502	3357	**WARNING**
050502	4113	14-inch-Automated-Response
050502	3363	MDM-1.3m
050502	3358	automated-Palomar-60inch
050502	3356	Palomar-5m-Hale
050502	3421	Haleakala/Ashra-AFT
050502	3350	ARIES-Naini-Tal/1m-Sampurnanand
050502	3346	IAO/2m-HCT
