time_sec	flux	flux_err	band_init	band_norm	source
246.2	1.8014738942054516e-12	1.9920904058903536e-13	r	R	guidorzi09
354.2	1.9214450680571044e-12	2.1247559000626633e-13	r	R	guidorzi09
432.9	1.8181427269186613e-12	1.8431601104080403e-13	r	R	guidorzi09
511.1	1.7849578822691335e-12	2.138149201002966e-13	r	R	guidorzi09
590.5	1.8014738942054516e-12	2.1579332519748027e-13	r	R	guidorzi09
663.6	1.7849578822691335e-12	1.3167327600319412e-13	r	R	guidorzi09
732.7	1.6889934796758455e-12	1.4013431091328156e-13	r	R	guidorzi09
802.7	1.7046215439275507e-12	1.5711814690672623e-13	r	R	guidorzi09
871.8	1.8181427269186613e-12	1.5084971093413568e-13	r	R	guidorzi09
971.1	1.736312824536116e-12	8.019763681248922e-14	r	R	guidorzi09
1099.9	1.6581658744459272e-12	9.182270823027864e-14	r	R	guidorzi09
1403.1	1.4442021027500896e-12	1.4640741168146283e-13	r	R	guidorzi09
1471.4	1.5546333250615291e-12	1.4329345303844824e-13	r	R	guidorzi09
1540.5	1.4846632994156146e-12	1.505092053750559e-13	r	R	guidorzi09
1640.7	1.5403803610658295e-12	8.530020948903044e-14	r	R	guidorzi09
1769.5	1.3416152091717346e-12	8.662829090882693e-14	r	R	guidorzi09
528.7	2.5722701658070374e-12	6.870530289171104e-13	R	R	guidorzi09
1123.9	2.181305933136697e-12	7.83532233884404e-13	R	R	guidorzi09
214	1.4003496497955493e-12	2.4762690104382464e-13	v_swift	R	guidorzi09
264	1.4263840935463451e-12	2.912890071193313e-13	v_swift	R	guidorzi09
314	1.3875111670368287e-12	3.341315631868477e-13	v_swift	R	guidorzi09
364	1.7101589875443122e-12	3.6487406059868443e-13	v_swift	R	guidorzi09
414	1.9689581580112227e-12	3.1232566268138965e-13	v_swift	R	guidorzi09
464	1.3324057159373958e-12	2.96465973722094e-13	v_swift	R	guidorzi09
514	1.8460203621780842e-12	3.0961950335361443e-13	v_swift	R	guidorzi09
557	1.9689581580112227e-12	3.661309819665007e-13	v_swift	R	guidorzi09
654	1.15379786777045e-12	1.9917751761217227e-13	u_swift	R	guidorzi09
673	1.57920143904915e-12	3.4696837822417257e-13	b_swift	R	guidorzi09
733	1.3952000627442459e-12	4.3834550204346496e-13	v_swift	R	guidorzi09
807	1.7952698280700368e-12	3.241431072188864e-13	u_swift	R	guidorzi09
827	1.8181827416080045e-12	3.8335503467476195e-13	b_swift	R	guidorzi09
1010	1.9689581580112227e-12	3.1232566268138965e-13	v_swift	R	guidorzi09
1060	1.9689581580112227e-12	3.1232566268138965e-13	v_swift	R	guidorzi09
1110	1.8977390189924083e-12	3.010285385149134e-13	v_swift	R	guidorzi09
1160	1.4263840935463451e-12	2.7825845342727477e-13	v_swift	R	guidorzi09
1210	1.9871767035370608e-12	3.876576573692467e-13	v_swift	R	guidorzi09
1260	1.3875111670368287e-12	3.341315631868477e-13	v_swift	R	guidorzi09
1310	9.95947594774302e-13	2.6721888743884226e-13	v_swift	R	guidorzi09
1360	1.3621862341556647e-12	2.781788421885064e-13	v_swift	R	guidorzi09
1426	5.132157627010879e-13	1.5258498573679767e-13	uvw1_swift	R	guidorzi09
1475	1.1685237158692487e-12	2.463775721571096e-13	b_swift	R	guidorzi09
715	2.3651863836466598e-12	3.4238988275587615e-13	H	R	GCN7542
715	2.5947545178388573e-12	4.876592645193946e-13	K	R	GCN7542
715	2.234296507289012e-12	2.3086437941227856e-13	J	R	GCN7542
12600	1.9512664646978185e-13	8.985914148144779e-15	R	R	GCN7546
33840	9.60100245280703e-14	1.768570010050619e-14	R	R	GCN7550
58.9	1.4398477784095742e-12	2.9175273870569017e-13	R	R	GCN7568
142	1.2425577448173926e-12	1.144437976160331e-13	R	R	GCN7568
294.8	2.1395211334065497e-12	1.379400251019741e-13	R	R	GCN7568
504.74	1.91565183800096e-12	1.0586283277314373e-13	R	R	GCN7568
