time_sec	mag	mag_err	band	source
36265.3	18.818455511351345	0.053724	i	nissim
36368.3	18.999075511351347	0.095482	i	nissim
36466.0	19.021534511351344	0.115037	i	nissim
36559.4	18.823804511351344	0.05536	i	nissim
36658.1	18.868181511351345	0.056544	i	nissim
36759.2	18.823933511351346	0.055475	i	nissim
36979.8	18.774978511351346	0.054998	i	nissim
37079.8	18.942497511351345	0.13503	i	nissim
37172.8	19.153527511351346	0.110275	i	nissim
37359.2	18.917740511351347	0.110696	i	nissim
37457.1	19.030784511351346	0.063875	i	nissim
37558.1	19.012460511351346	0.065816	i	nissim
37651.0	18.844720511351348	0.057869	i	nissim
37743.2	18.913012511351347	0.06214	i	nissim
37942.8	18.833795511351347	0.056463	i	nissim
38059.4	18.841934511351347	0.055296	i	nissim
38154.6	18.811844511351346	0.055214	i	nissim
38257.4	19.057120511351346	0.064096	i	nissim
38350.7	18.881132511351346	0.053924	i	nissim
38448.6	18.931954511351346	0.060732	i	nissim
38564.2	19.027967511351346	0.076636	i	nissim
38664.8	18.882119511351345	0.063468	i	nissim
38755.5	18.892717511351346	0.064393	i	nissim
38850.5	18.809906511351347	0.067221	i	nissim
38941.2	18.908467511351347	0.076155	i	nissim
39045.8	18.896897511351344	0.060323	i	nissim
39147.5	19.078381511351346	0.121379	i	nissim
39243.0	18.951342511351346	0.07435	i	nissim
39333.1	18.945527511351347	0.070457	i	nissim
39426.8	18.946351511351345	0.069897	i	nissim
39547.0	18.888051511351346	0.06858	i	nissim
39640.8	19.065297511351346	0.088924	i	nissim
39733.9	18.943755511351345	0.073621	i	nissim
39828.7	18.995232511351347	0.072566	i	nissim
39922.4	19.026960511351344	0.073743	i	nissim
40015.0	19.112069511351347	0.090713	i	nissim
41409.2	19.058249511351345	0.08502	i	nissim
41581.4	18.958720511351345	0.073572	i	nissim
41673.8	19.037577511351348	0.076181	i	nissim
41767.1	19.070311511351346	0.097723	i	nissim
41880.4	19.215651511351346	0.089784	i	nissim
41975.8	19.169507511351345	0.08919	i	nissim
42075.8	19.082272511351345	0.086104	i	nissim
42176.0	18.978831511351345	0.0911	i	nissim
42285.2	19.187601511351346	0.109824	i	nissim
42479.5	19.173356511351347	0.102928	i	nissim
42582.1	19.230125511351346	0.100645	i	nissim
42671.6	19.244923511351345	0.115485	i	nissim
42794.4	19.172176511351346	0.094952	i	nissim
43102.7	19.197027511351347	0.098386	i	nissim
43224.0	19.092717511351346	0.089494	i	nissim
43314.1	19.313745511351346	0.112939	i	nissim
43628.1	19.075177511351345	0.095084	i	nissim
43828.2	19.521012511351348	0.160958	i	nissim
43921.0	19.266710511351345	0.116147	i	nissim
