GRB,path,datatype,RA,DEC,Coord_Error,Instrument,idGRB,Author,z,T90 (s),class,logFa (erg/cm^2 s),logFaErr (erg/cm^2 s),logTa (s),logTaErr (s),Alpha,AlphaErr,beta,betaErr,ktotal,dk,logTarescaled (s),logTaErr (s).1,logLumTa (erg/s),logLumTaErr (erg/s)
080605A,mastersample/080605A_Kann.txt,kann,17h28m31s,  +04° 00',3',Swift,80605,Kann[163],1.6403,20.0,L,-12.5404,0.0122,3.52993,0.02324,0.680096,0.010692,0.57477,0.35333,0.661759794,0.227013695,3.108276724,0.02324,45.52959446,0.149481438
110801A,mastersample/110801A_converted_flux_accepted_ext_corr.txt,GCN,05h59m22s,+80° 59',3,Swift,110801A,GCN[9],1.858,385.0,XRF-L,-11.82200427,0.034930855,4.036447759,0.03099577,1.59481005,0.044803056,1.0,0.0959,1.0,0.100706707,3.580385535,0.03099577,46.56038147,0.055973516
100316B,mastersample/100316B_Oates.txt,oates,10h54m00s,-45° 29',3,Swift,100316B,Kann[172],1.18,3.8,L,-11.7542,0.27115,4.081453,0.2065975,1.967913754,0.187276796,0.94,0.189542021,0.95431689,0.14096674,3.742996506,0.2065975,46.12135259,0.278635545
050603A,mastersample/050603A_Kann.txt,kann,02h39m55s, -25° 11',4',Swift,50603,Kann[65],2.82,21.0,L,-11.88,0.13,4.45,0.08,1.85,0.09,0.6,0.147092192,0.585025309,0.115332107,3.867936637,0.08,46.71077445,0.155660742
091029A,mastersample/091029A_comb.txt,combined,04h00m44s,-56° 00',3,Swift,91029,"Kann, Oates[126]",2.75,39.2,XRR,-12.77,0.01,4.45,0.02,1.1,0.01,0.43,0.03,0.470762844,0.018667006,3.875968732,0.02,45.7000425,0.019913832
110422A,mastersample/110422A_converted_flux_accepted_ext_corr.txt,GCN,07h27m59s,+75° 06',3,Swift,110422A,GCN[7],1.77,25.9,L,-12.22797237,0.1310943,3.341312481,0.242676494,0.628947581,0.035660821,0.8,0.0674,0.815650386,0.056010964,2.898832712,0.242676494,46.01415691,0.134443799
050801A,mastersample/050801A_Kann.txt,kann,13h36m33s,  -21° 57',4',Swift,50801,Kann[67],1.56,19.4,XRR,-10.98,0.02,2.64,0.02,1.19,0.01,0.69,0.34,0.74721505,0.238811774,2.231760035,0.02,47.08900723,0.140235092
081007A,mastersample/081007A_Kann.txt,kann,22h39m54s,-40° 08',3,Swift,81007,Kann[112],0.53,9.09,XRF-SN-B,-12.93,0.09,4.83,0.07,1.26,0.09,0.27,0.11,0.733120317,0.034294966,4.645308569,0.07,43.97840204,0.092264523
110715A,mastersample/110715A_Kann.txt,kann,15h50m38s,-46° 14',3,Swift,110715A,Kann[137],0.82,13.0,XRR,-12.24,0.06,5.19,0.06,1.51,0.09,0.9,0.22,0.941874114,0.124086292,4.929928612,0.06,45.23931788,0.0829074
071010B,mastersample/071010B_Liang.txt,liang,10h02m07s,  +45° 44',3',Swift,071010B,Liang[170],0.947,35.7,L,-11.8207,0.0527,3.16101,0.19345,0.633623,0.053512,0.27165,0.33889,0.615517364,0.138983159,2.871644048,0.19345,45.62809667,0.111326935
021004A,mastersample/021004A_Liang.txt,liang,00h26m56s,+18° 56',2',HETE,21004,Li[54],2.34,100.0,L,-12.92,0.02,5.4,0.02,1.33,0.03,0.67,0.14,0.671681932,0.113404032,4.876253533,0.02,45.53438806,0.076003178
100508A,mastersample/100508A_converted_flux_accepted_ext_corr.txt,GCN,05h05m00s,-20° 43',3,Swift,100508A,GCN[5],0.5201,52.0,L,-12.87693247,0.15766039,4.020463247,0.387988678,0.875388989,0.292399137,0.4,0.115,0.777815699,0.037459024,3.838591088,0.387988678,44.03745705,0.159041656
140430A,mastersample/140430A_Kann.txt,kann,06h51m43s,+23° 01',3,Swift,140430A,Kann[148],1.6,173.59,XRR,-12.35,0.02,3.84,0.04,0.78,0.03,1.05,0.08,1.048935219,0.080181569,3.425026652,0.04,45.89342142,0.038756915
081228A,mastersample/081228A_Nissim.txt,si,02h37m52s,+30° 51',3,Swift,81228,Kann[164],3.44,3.0,IS,-12.9876,0.0492,2.80122,0.047595,1.18347,0.036055,1.24,0.285,1.430118132,0.607566378,2.15383703,0.047595,46.19868934,0.190951355
070208A,mastersample/070208A_Kann.txt,kann,13h11m41s,  +61° 58',3',Swift,70208,Kann[92],1.17,64.0,XRR,-12.37,0.19,2.65,0.32,0.52,0.03,0.66,0.147092192,0.768428901,0.087567328,2.313540266,0.32,45.40231578,0.196339806
160131A,mastersample/160131A_converted_flux_accepted_ext_corr.txt,GCN,05h12m44s,-07° 04',3,Swift,160131A,GCN[22],0.972,325.0,L,-10.95042255,0.05014453,3.831945417,0.043053201,1.282362297,0.011924067,1.0,0.0577,1.0,0.039181084,3.537038506,0.043053201,46.73709537,0.052953022
150910A,mastersample/150910A_Kann.txt,kann,00h22m42s,+33° 30',3,Swift,150910A,Kann[181],1.3585,112.2,L,-11.46,0.02795,3.36387,0.024855,1.239,0.008245,0.52882,0.13613,0.667454132,0.077960682,2.991234119,0.024855,46.41163888,0.057917382
071003A,mastersample/071003A_Kann.txt,kann,20h07m25s,  +10° 58',3',Swift,71003,Kann[96],1.6,148.13,L,-13.16,0.07,5.51,0.06,2.17,0.15,0.35,0.23,0.53736246,0.118094876,5.095026652,0.06,44.79294008,0.11836187
060904B,mastersample/060904B_Kann.txt,kann,03h52m51s,  -00° 43',3',Swift,060904B,Kann[87],0.7,171.47,XRR-SN-C,-12.11,0.04,3.89,0.04,1.2,0.03,1.11,0.1,1.060106217,0.056252231,3.659551079,0.04,45.25201946,0.046163482
100418A,mastersample/100418A_Si.txt,si,17h05m30s,+11° 28',3,Swift,100418A,Si[130],0.62,7.04,XRF-SN-D,-13.02,0.11,4.86,0.15,1.06,0.12,0.98,0.09,0.990397875,0.043001445,4.650484985,0.15,44.18391446,0.111604489
090727A,mastersample/090727A_Liang.txt,liang,21h03m53s,+64° 55',3,Swift,90727,Liang[166],2.22,301.0,L,-13.209,0.07915,3.74484,0.12628,0.71363,0.065007,0.21,0.189542021,0.397003067,0.087994501,3.236984128,0.12628,44.96132745,0.124622292
081203A,mastersample/081203A_Zaninoni.txt,zaninoni,15h32m08s,+63° 30',3,Swift,081203A,GCN[116],2.1,221.0,L,-10.02,0.11,2.98,0.08,1.72,0.03,1.25,0.01,1.326906811,0.015012652,2.488638306,0.08,48.61546024,0.110109689
081029A,mastersample/081029A_Si.txt,si,23h06m49s,-68° 10',3,Swift,81029,Si[114],3.85,269.95,L,-12.08,0.09,4.31,0.05,2.09,0.04,1.08,0.02,1.134643264,0.035831551,3.624258261,0.05,47.12236503,0.091038984
100621A,mastersample/100621A_Kann.txt,kann,21h01m14s,-51° 05',3,Swift,100621A,Kann[131],0.54,63.55,XRR,-11.87,0.03,4.18,0.02,1.55,0.05,0.78,0.09,0.90938009,0.03533889,3.992479279,0.02,45.15153884,0.034421339
090530A,mastersample/090530_converted_flux_accepted_ext_corr.txt,GCN,11h57m35s,+26° 35',3,Swift,90530,GCN[4],1.266,48.0,L,-12.10568053,0.33723791,4.893361263,0.140324278,3.105866812,0.229660987,0.9,0.13,0.921454742,0.097989433,4.538101357,0.140324278,45.83025938,0.340385591
111228A,mastersample/111228A_Kann.txt,kann,10h00m19s,+18° 18',3,Swift,111228A,Kann[177],0.714,101.2,SN-C,-12.0111,0.00575,4.28017,0.008735,0.93593,0.005345,1.74,0.0105,1.489937342,0.008429638,4.046159182,0.008735,45.5197874,0.006252992
060714A,mastersample/060714A_Si.txt,si,15h11m29s,  -06° 33',3',Swift,60714,Si[84],2.71,114.99,XRR,-12.47,0.17,3.77,0.21,0.76,0.07,0.44,0.04,0.479899846,0.02516656,3.20062609,0.21,45.99301148,0.1715188
060708A,mastersample/060708A_Liang.txt,liang,00h31m12s,  -33° 44',3',Swift,60708,Liang[159],1.92,10.2,L,-11.6007,0.0317,3.15661,0.0831,0.820982,0.0336165,1.85,0.189542021,2.486425343,0.505018161,2.691227149,0.0831,47.21223105,0.09373273
091024A,mastersample/091024A_Kann.txt,kann,22h36m50s,+56° 52',3,Swift,91024,Kann[125],1.09,98.9,UL,-11.21,0.04,3.97,0.03,1.63,0.04,0.64,0.29,0.766915185,0.163949272,3.649853714,0.03,46.48533445,0.101092609
091020A,mastersample/091020A_Kann.txt,kann,11h42m52s,+50° 58',3,Swift,91020,Kann[168],1.71,38.91,L,-10.8705,0.04935,2.58947,0.04193,1.08875,0.00706,1.06,0.09,1.061642161,0.095256243,2.156500709,0.04193,47.44926836,0.06287979
030328A,mastersample/030328A_Kann.txt,kann,12h10m46s,-09° 22',2',HETE,30328,Kann[56],1.52,199.2,L,-12.7,0.02,4.38,0.02,1.25,0.04,0.36,0.45,0.553482194,0.23020238,3.978599459,0.02,45.21083374,0.181734105
080928A,mastersample/080928A_Liang.txt,liang,06h20m20s,-55° 10',3,Swift,80928,Li[111],1.69,233.66,XRR,-12.67,0.1,4.45,0.07,2.25,0.21,1.09,0.05,1.09314483,0.054085592,4.02024772,0.07,45.64989343,0.102282538
130831A,mastersample/130831A_Kann.txt,kann,23h54m36s,+29° 27',3,Swift,130831A,Kann[147],0.48,32.5,SN-B-XRR,-11.42,0.03,3.87,0.01,1.62,0.01,1.0,0.05,1.0,0.019602104,3.699738285,0.01,45.51990518,0.031184493
060124A,mastersample/060124A_Zaninoni.txt,zaninoni,05h08m10s,  +69° 43',3',Swift,60124,Zaninoni[75],2.3,13.63,XRR,-11.66,0.03,3.63,0.04,0.88,0.0,0.75,0.01,0.741944663,0.008858244,3.11148606,0.04,46.81936938,0.030444797
050820A,mastersample/050820A_comb.txt,combined,22h29m36s,  +19° 35',4',Swift,050820A,"Kann, Zaninoni[69]",2.61,244.69,L,-11.97,0.01,4.46,0.02,1.02,0.01,0.72,0.03,0.698068407,0.026883475,3.902492798,0.02,46.61624784,0.019486735
201020A,mastersample/201020A_converted_flux_accepted_ext_corr.txt,GCN,17h24m59s ,+31° 25',3,Swift,201020A,GCN[45],2.903,14.17,L,-12.09100459,0.128557905,3.793642654,0.192264332,0.728841688,0.056032454,1.1,0.175,1.145881888,0.273069911,3.202244103,0.192264332,46.82211689,0.165040291
080413B,mastersample/080413B_comb.txt,combined,21h44m32s,  -19° 58',3',Swift,080413B,"Kann, Oates[105]",1.1,6.98,L,-13.54,0.05,5.62,0.02,2.29,0.1,0.74,0.04,0.824561368,0.024470915,5.297780705,0.02,44.19662483,0.051634489
070125A,mastersample/070125A_Zaninoni.txt,zaninoni,07h51m24s,  +31° 08',3',IPN,70125,Zaninoni[91],1.55,60.0,L,-12.25,0.13,5.14,0.03,2.37,0.08,1.13,0.02,1.129406345,0.021144596,4.73345982,0.03,45.99152291,0.130254021
151027A,mastersample/151027A_converted_flux_accepted_ext_corr.txt,GCN,18h09m58s,+61° 23',3,Swift,151027A,GCN[21],0.81,129.69,L,-11.45078032,0.017120265,4.619188487,0.010891731,1.852192054,0.014864967,1.0,0.06265,1.0,0.037171927,4.361509912,0.010891731,46.0414307,0.023531215
070810A,mastersample/070810A_Kann.txt,kann,12h39m53s,  +10° 44',3',Swift,070810A,Kann[95],2.17,11.03,XRR,-12.45,0.11,3.77,0.12,1.5,0.11,0.6,0.147092192,0.630342072,0.106972144,3.268940738,0.12,45.89697457,0.132408349
120907A,mastersample/120907A_converted_flux_accepted_ext_corr.txt,GCN,04h58m58s,-09° 18',3,Swift,120907A,GCN[11],0.97,16.9,L,-12.02783748,0.07849181,2.844130665,0.160635186,0.787588906,0.055885755,0.8,0.09695,0.873185982,0.057399188,2.549664439,0.160635186,45.59857644,0.083522339
080603B,mastersample/080603B_Kann.txt,kann,11h46m07s,  +68° 05',3',Swift,080603B,Kann[171],2.6893,60.0,L,-12.2511,0.01515,4.19971,0.014815,1.26607,0.02688,0.62115,0.06837,0.609836306,0.054429543,3.632766028,0.014815,46.30792183,0.041617448
100901A,mastersample/100901A_Kann.txt,kann,01h48m59s,+22° 45',3,Swift,100901A,Kann[132],1.41,436.53,L-VL,-12.17,0.02,4.9,0.02,1.6,0.03,0.74,0.02,0.795564818,0.013996002,4.517982957,0.02,45.817837,0.02140969
060418A,mastersample/060418A_Kann.txt,kann,15h45m41s,  -03° 39',3',Swift,60418,Kann[78],1.49,144.0,XRR,-10.01,0.09,2.35,0.06,1.23,0.01,0.69,0.11,0.753664749,0.075631085,1.953800653,0.06,48.0135394,0.099996922
160425A,mastersample/160425A_converted_flux_accepted_ext_corr.txt,GCN,18h41m15s,-54° 22',3,Swift,160425A,GCN[25],0.555,304.58,L,-12.47807195,0.257417475,3.623298946,0.431715816,0.859364442,0.204328793,1.5,0.15,1.246996391,0.082577762,3.431568553,0.431715816,44.70930957,0.259019051
161219B,mastersample/161219B_converted_flux_accepted_ext_corr.txt,GCN,06h06m52s,-26° 47',3,Swift,161219B,GCN[28],0.1475,6.94,L-SN-C,-12.77751304,0.01228553,6.352832959,0.012775879,0.972349202,0.008836394,0.8,0.057,0.972858015,0.007629525,6.293080265,0.012775879,42.97887862,0.012748899
050319A,mastersample/050319A_Zaninoni.txt,zaninoni,10h16m38s, +43° 34',4',Swift,50319,Zaninoni[60],3.24,152.54,XRR,-12.83,0.02,4.44,0.03,0.76,0.03,0.76,0.02,0.707020806,0.020426726,3.812634143,0.03,45.98807088,0.023610065
050401A,mastersample/050401A_Liang.txt,liang,16h31m31s, +02° 11',4',Swift,50401,Liang[155],2.8992,32.09,L,-13.6002,0.12095,4.1414,0.161195,0.87515,0.0478615,0.3,0.189542021,0.385759954,0.099496504,3.550424488,0.161195,44.83872775,0.164852036
071025A,mastersample/071025A_Kann.txt,kann,23h40m20s,  +31° 45',3',Swift,71025,Kann[98],5.0,238.14,XRR,-12.58,0.03,3.37,0.02,1.41,0.01,0.93,0.03,0.882123542,0.047416596,2.59184875,0.02,46.78118585,0.038012727
121128A,mastersample/121128A_converted_flux_accepted_ext_corr.txt,GCN,20h02m20s,+54° 19',3,Swift,121128A,GCN[12],2.2,23.3,L,-11.4998302,0.117789065,3.026682743,0.179004407,0.954087849,0.169469648,1.0,0.075,1.0,0.087236311,2.521532765,0.179004407,47.06211775,0.123732096
000301C,mastersample/000301C_Si.txt,si,16h20m22s,+29° 25',6'*8',ASM/Uly,000301C,Si[51],2.03,2.0,IS,-13.83,0.12,5.88,0.05,2.85,0.14,0.59,0.12,0.634758496,0.084440345,5.398557371,0.05,44.44922507,0.13318308
051109A,mastersample/051109A_Zaninoni.txt,zaninoni,22h01m11s, +40° 50',4',Swift,051109A,Zaninoni[73],2.35,37.23,L,-12.14,0.03,3.74,0.04,0.81,0.02,1.06,0.06,1.075233256,0.077994862,3.214955193,0.04,46.52323301,0.043501947
070110A,mastersample/070110A_Kann.txt,kann,00h03m38s,  -52° 58',3',Swift,70110,Kann[90],2.35,88.42,XRR,-12.9,0.06,4.44,0.1,0.99,0.05,0.6,0.147092192,0.616569556,0.109643718,3.914955193,0.1,45.5217124,0.097798117
180325A,mastersample/180325A_converted_flux_accepted_ext_corr.txt,GCN,10h29m44s,+24° 26',3,Swift,180325A,GCN[36],2.248,94.1,L,-12.71701314,0.072160605,3.915431703,0.04578387,1.426557765,0.049597015,0.8,0.08985,0.79009042,0.083628576,3.403815682,0.04578387,45.7654673,0.085558601
060313A,mastersample/060313A_Liang.txt,liang,04h26m28s,-10° 50,1.4′′,Swift,60313,Kann[158],1.1,2.0,S,-12.892,0.13165,3.57845,0.386165,0.437193,0.0953835,0.6,0.6,0.743211262,0.330849714,3.256230705,0.386165,44.79951412,0.233899169
090426A,mastersample/090426A_Si.txt,si,12h36m18s,-32° 59,1.4′′,Swift,90426,Si[120],2.61,1.25,S-IS-XRR,-11.72,0.01,2.57,0.02,1.17,0.02,0.76,0.14,0.734849278,0.132066442,2.012492798,0.02,46.88854813,0.078689007
201021C,mastersample/201021C_converted_flux_accepted_ext_corr.txt,GCN,00h50m12s ,-55° 50',3,Swift,201021C,,1.07,24.38,L,-11.16908718,0.102098245,2.880419844,0.137291034,1.034878549,0.035385137,0.6,0.175,0.747501144,0.095172598,2.564449499,0.137291034,46.49521092,0.116110153
070411A,mastersample/070411A_Zaninoni.txt,zaninoni,07h09m21s,  +01° 05',3',Swift,70411,Zaninoni[93],2.95,122.75,XRR,-12.5,0.19,3.38,0.1,2.01,0.31,1.17,0.27,1.263052801,0.468470334,2.783402904,0.1,46.47220675,0.24909267
100316D,mastersample/100316D_Liang.txt,liang,07h10m28s,-56° 09',3,Swift,100316D,Li[129],0.06,521.88,UL-SN-A-XRF-VL,-12.86,0.11,6.41,0.06,2.12,0.18,0.94,0.05,0.99650997,0.002903277,6.384694135,0.06,42.07480352,0.110007277
060614A,mastersample/060614A_comb.txt,combined,21h23m27s,  -53° 02',3',Swift,60614,"Si, Zaninoni[83]",0.13,108.7,KN-SEE-XRR,-13.05,0.04,5.09,0.02,2.15,0.02,0.47,0.04,0.937278004,0.004582076,5.036921557,0.02,42.57085878,0.040056307
130427A,mastersample/130427A_Kann.txt,kann,11h32m33s,+27° 41',3,Swift,130427A,Kann[144],0.34,241.07,SN-B,-11.35,0.01,4.5,0.01,1.29,0.01,0.72,0.01,0.921320334,0.002696425,4.372895202,0.01,45.20054814,0.010080455
080330A,mastersample/080330A_Kann.txt,kann,11h17m12s,  +30° 34',3',Swift,80330,Kann[103],1.51,60.7,XRF,-11.98,0.01,3.52,0.01,1.13,0.0,0.42,0.15,0.586393627,0.080947191,3.120326279,0.01,45.94884455,0.06077935
180205A,mastersample/180205A_converted_flux_accepted_ext_corr.txt,GCN,08h27m17s,+11° 33',3,Swift,180205A,GCN[35],1.409,15.5,L,-12.8826962,0.024500725,5.013912227,0.030888032,1.074976156,0.047994512,0.9,0.145,0.915833067,0.11675562,4.632075427,0.030888032,45.16552013,0.060545162
090510A,mastersample/090510A_Liang.txt,liang,22h14m13s,-26° 34,1.4′′,Swift,90510,Liang[165],1.6187,0.3,S,-13.7153,0.08395,3.62117,0.189185,0.78981,0.0977745,0.17,0.15,0.449768286,0.064947306,3.203084252,0.189185,44.17279886,0.104787908
141221A,mastersample/141221A_Kann.txt,kann,13h13m05s,+08° 13',3,Swift,141221A,Kann[149],1.45,33.17,XRR,-10.92,0.06,2.65,0.04,1.26,0.03,0.26,0.09,0.515248929,0.041553756,2.260833916,0.04,46.90919391,0.069474794
110726A,mastersample/110726A_Kann.txt,kann,19h07m00s,+56° 03',3,Swift,110726A,Kann[175],1.036,5.2,L,-12.8547,0.0476,3.5628,0.08499,0.717409,0.0426205,0.5,0.195,0.700827465,0.097164461,3.254022226,0.08499,44.74690322,0.076754184
110205A,mastersample/110205A_Kann.txt,kann,10h58m21s,+67° 31',3,Swift,110205A,Kann[136],2.21,266.8,XRR,-13.04,0.06,4.79,0.03,1.95,0.11,0.74,0.04,0.738428911,0.034448327,4.283494968,0.03,45.39506074,0.063328317
101219B,mastersample/101219B_Kann.txt,kann,00h49m02s,-34° 32',3,Swift,101219B,Kann[134],0.55,41.95,XRR-SN-B,-12.03,0.02,3.87,0.02,0.97,0.01,0.58,0.07,0.831880007,0.025520286,3.679668302,0.02,44.97208439,0.024031399
061121A,mastersample/061121A_Zaninoni.txt,zaninoni,09h49m00s,  -13° 11',3',Swift,61121,Zaninoni[89],1.31,81.25,L,-12.27,0.04,3.85,0.05,1.0,0.01,0.68,0.06,0.764969582,0.038428133,3.48638802,0.05,45.62181667,0.045562805
091018A,mastersample/091018A_Kann.txt,kann,02h08m51s,-57° 32',3,Swift,91018,Liang[167],0.971,4.36,L,-12.4751,0.0093,4.65931,0.00932,1.2451,0.012485,0.60705,0.01791,0.765954357,0.00930839,4.364623376,0.00932,45.09551599,0.010693249
010222A,mastersample/010222A_Liang.txt,liang,14h52m12s,+43° 01',2.5',SAX/WFC,10222,Liang[153],1.47688,2.0,L,-12.6069,0.0213,4.63959,0.020325,1.25902,0.018945,0.76,0.22,0.80438286,0.160506504,4.245685034,0.020325,45.4354404,0.089238379
060607A,mastersample/060607A_Kann.txt,kann,21h58m51s,  -22° 30',3',Swift,060607A,Kann[82],3.07,99.3,L,-11.78,0.03,3.53,0.04,1.25,0.05,0.72,0.27,0.67501522,0.255819705,2.920405591,0.04,46.96176147,0.16730221
201014A,mastersample/201014A_converted_flux_accepted_ext_corr.txt,GCN,01h23m23s ,+27° 42',3,Swift,201014A,GCN[43],4.56,36.2,L,-13.75414264,0.092273985,5.031583547,0.110179359,1.038297501,0.170451437,0.9,0.24,0.842349885,0.346832129,4.286508755,0.110179359,45.49289193,0.201222135
141121A,mastersample/141121A_converted_flux_accepted_ext_corr.txt,GCN,08h10m40s,+22° 14',3,Swift,141121A,GCN[18],1.47,549.9,UL,-13.18536394,0.03124116,5.705590185,0.017499816,1.849759358,0.038117967,0.9,0.115,0.913545757,0.094995135,5.312893232,0.017499816,44.90723648,0.054913106
080607A,mastersample/080607A_Zaninoni.txt,zaninoni,12h59m52s,  +15° 54',3',Swift,80607,Zaninoni[107],3.04,79.43,L,-13.26279083,0.05322235,3.72042274,0.02684761,2.09523774,0.088579085,0.84,0.01,0.799795547,0.011167103,3.114041375,0.02684761,45.54238235,0.053566672
011211A,mastersample/011211A_Kann.txt,kann,11h15m16s,-21° 56',1',SAX/WFC,11211,Kann[53],2.14,270.0,L,-13.52,0.06,5.23,0.04,1.98,0.11,0.41,0.14,0.509109859,0.081554915,4.733070352,0.04,44.71944954,0.091869505
200613A,mastersample/200613A_converted_flux_accepted_ext_corr.txt,GCN,10h12m07s,+45° 51',8,Fermi,200613A,GCN[41],1.2255,381.0,L,-12.63964723,0.91570884,5.107731211,0.718898478,1.009410062,0.214567939,0.9,0.145,0.923118044,0.107079232,4.760303612,0.718898478,45.2621352,0.917093519
061021A,mastersample/061021A_Oates.txt,oates,09h40m32s,  -21° 56',3',Swift,61021,Oates[160],4.6,46.2,L,-12.4195,0.0677,4.823673,0.0674935,1.736350998,0.108428584,0.76,0.6,0.661355354,0.683616548,4.075484973,0.0674935,46.73141841,0.453988994
120404A,mastersample/120404A_Liang.txt,liang,15h40m03s,+12° 53',3,Swift,120404A,Li[140],2.87,48.0,XRR,-12.19,0.05,3.97,0.03,1.74,0.09,1.05,0.09,1.070004362,0.13031894,3.382289035,0.03,46.68139785,0.072785808
101225A,mastersample/101225A_Liang.txt,liang,00h00m56s,+44° 36',3,Swift,101225A,Li[135],0.33,1088.0,UL-XRR-SN-D-VL,-14.1,0.06,5.38,0.17,0.7,0.08,0.79,0.03,0.941870415,0.008058048,5.256148359,0.17,42.4299499,0.060114934
040924A,mastersample/040924A_Kann.txt,kann,02h06m19s, +16° 01',6',HETE,40924,Kann[58],0.86,2.39,SN-C,-12.2,0.04,3.5,0.04,1.3,0.02,0.63,0.48,0.794840908,0.236764598,3.230487056,0.04,45.25655566,0.135409073
050730A,mastersample/050730A_Kann.txt,kann,14h08m16s,  -03° 46',4',Swift,50730,Kann[66],3.97,156.5,L,-12.15,0.04,4.34,0.06,1.57,0.07,0.52,0.05,0.463179078,0.037133526,3.643643611,0.06,46.69492313,0.05303094
100219A,mastersample/100219A_Si.txt,si,10h16m53s,-12° 34',3,Swift,100219A,Si[128],4.67,22.17,L,-12.92,0.1,3.37,0.07,1.67,0.18,1.27,0.08,1.597597697,0.221770731,2.616416941,0.07,46.62940403,0.116766774
