#Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)				beta	z
           4595.2000               0.0010    7.2831227468929564e-05    2.4418999224263894e-05	0.755	3.2425
           4702.8000               0.0010    7.5163471401802886e-05    5.5382494006338790e-06	0.755	3.2425
           5203.9000               0.0010    5.8201533547873587e-05    9.2020093340795122e-06	0.755	3.2425
           5370.0000               0.0010    6.8411833337422647e-05    1.8566308234636049e-05	0.755	3.2425
           6944.0000               0.0010    5.8746233621622064e-05    7.1541806526870561e-06	0.755	3.2425
           7088.0000               0.0010    5.4967353503406063e-05    1.7792009434666852e-05	0.755	3.2425
           7108.1000               0.0010    6.0814456287241779e-05    1.6803655742007147e-06	0.755	3.2425
           7293.0000               0.0010    5.0207434116187790e-05    7.1841614440440746e-06	0.755	3.2425
           7297.3000               0.0010    6.2518252250725299e-05    2.3032575970669714e-06	0.755	3.2425
           7631.7000               0.0010    5.5463443247379942e-05    2.0433488208643680e-06	0.755	3.2425
           8331.6000               0.0010    6.3696978022293396e-05    7.4504020116772253e-06	0.755	3.2425
           8676.3000               0.0010    5.1051302521948494e-05    2.3509994309797336e-06	0.755	3.2425
           9019.3000               0.0010    4.9830635630627934e-05    4.7285095388528015e-06	0.755	3.2425
          11162.0000               0.0010    4.8639558794464727e-05    6.2051839928428535e-06	0.755	3.2425
          11505.0000               0.0010    4.4875244344113458e-05    2.4798977195003920e-06	0.755	3.2425
          11512.8000               0.0010    3.9021829356416189e-05    6.2483932557062416e-06	0.755	3.2425
          11854.1000               0.0010    5.2225189835774096e-05    4.6225579658006142e-06	0.755	3.2425
          12555.6000               0.0010    4.6501613966970791e-05    5.9425780631126183e-06	0.755	3.2425
          13256.4000               0.0010    4.7545829285622553e-05    4.2215454055074858e-06	0.755	3.2425
          13959.6000               0.0010    4.3665418423137246e-05    5.8229424560242485e-06	0.755	3.2425
          14311.3000               0.0010    4.2073324108135907e-05    1.9375482338599913e-06	0.755	3.2425
          14593.0000               0.0010    4.4875244344113458e-05    2.0665814329169934e-06	0.755	3.2425
          14661.2000               0.0010    4.7545829285622553e-05    4.2215454055074858e-06	0.755	3.2425
          15069.9000               0.0010    3.4551334383031919e-05    6.3988657791341322e-06	0.755	3.2425
          15362.8000               0.0010    4.0635277102765965e-05    5.9034159108080080e-06	0.755	3.2425
          15711.8000               0.0010    3.3729260880192640e-05    2.4852638571596092e-06	0.755	3.2425
          16060.0000               0.0010    4.3693982070914984e-05    3.8904559879468879e-06	0.755	3.2425
          16764.2000               0.0010    4.1002206233571234e-05    5.4798451805634468e-06	0.755	3.2425
          16951.0000               0.0010    3.1471107324046600e-05    1.7029093754491538e-05	0.755	3.2425
          17462.3000               0.0010    3.7249223608149712e-05    3.5646295308562664e-06	0.755	3.2425
          18165.6000               0.0010    3.6479697213748691e-05    4.7049187855293417e-06	0.755	3.2425
          18517.2000               0.0010    3.8371327581691667e-05    2.4738909840820132e-06	0.755	3.2425
          18664.0000               0.0010    2.9132839989824311e-05    1.6100438798554632e-05	0.755	3.2425
          18864.6000               0.0010    4.0532895185164573e-05    3.3908034411143680e-06	0.755	3.2425
          18907.8000               0.0010    3.3082020340562174e-05    4.5280086397733777e-06	0.755	3.2425
          19160.1000               0.0010    4.0179712564974442e-05    3.3306195548258426e-06	0.755	3.2425
          19612.8000               0.0010    2.5050039933725752e-05    6.4624365722115247e-06	0.755	3.2425
          22235.0000               0.0010    3.2165538322912744e-05    4.7053862513458148e-06	0.755	3.2425
          22927.1000               0.0010    3.0199991710417240e-05    2.5033698980210207e-06	0.755	3.2425
          23584.6000               0.0010    3.5318871996542793e-05    3.5782872620780222e-06	0.755	3.2425
          23607.9000               0.0010    3.4995066626950260e-05    1.9338989055180983e-06	0.755	3.2425
          23957.0000               0.0010    4.8446903791079110e-05    4.2988652673502972e-06	0.755	3.2425
