Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
33403.1   -9. -9. 1.d-3 -9.   RC  19.041    0.110   -9.  -9. -9.  	Watcher	 xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
35089.6   -9. -9. 1.d-3 -9.   RC  19.121    0.110   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
28625.2   -9. -9. 1.d-3 -9.   RC  19.411    0.300   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
115647.3  -9. -9. 1.d-3 -9.   RC  20.771    0.210   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
127637.9  -9. -9. 1.d-3 -9.   RC  20.831    0.260   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
201843.4  -9. -9. 1.d-3 -9.   RC  21.351    0.860   -9.  -9. -9.  	Watcher  xu09 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  51593.8 -9. -9. 1.d-3 -9.   RC  19.501    0.030   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  51740.6 -9. -9. 1.d-3 -9.   RC  19.511    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  51830.5 -9. -9. 1.d-3 -9.   RC  19.501    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  51921.2 -9. -9. 1.d-3 -9.   RC  19.531    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  52012.8 -9. -9. 1.d-3 -9.   RC  19.531    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  52110.4 -9. -9. 1.d-3 -9.   RC  19.511    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  52201.2 -9. -9. 1.d-3 -9.   RC  19.541    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  52292.7 -9. -9. 1.d-3 -9.   RC  19.531    0.030   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
  52384.3 -9. -9. 1.d-3 -9.   RC  19.531    0.020   -9.  -9. -9. 	VLT  xu09dellavalle06 0 Vega 0.057 22.46 2 Gal_Ext=E(B-V)-Host_Ext=Rhost
