time	flux	flux_err	band
820.6	8.905274036828022e-12	4.787728110353766e-13	R
825.3	9.070835442174944e-12	4.876738621551148e-13	R
830.0	9.76443881206193e-12	5.249639482064928e-13	R
834.7	8.272700245277305e-12	4.4476384835600844e-13	R
840.5	7.685060455768751e-12	4.1317066517762113e-13	R
846.4	8.742734467685183e-12	4.700342224078783e-13	R
851.1	8.272700245277305e-12	4.4476384835600844e-13	R
855.8	8.58316158001983e-12	4.614551309979302e-13	R
860.5	8.823629993713368e-12	4.743833955199605e-13	R
865.2	8.121706449021914e-12	4.366459932531626e-13	R
869.9	8.823629993713368e-12	4.743833955199605e-13	R
874.6	8.19685567354298e-12	4.406862288845759e-13	R
879.3	8.58316158001983e-12	4.614551309979302e-13	R
883.9	8.504470681659936e-12	4.57224484927428e-13	R
888.6	8.047246196732524e-12	4.3264279872468224e-13	R
893.3	7.97346860013939e-12	4.286763057042105e-13	R
898.0	8.272700245277305e-12	4.4476384835600844e-13	R
902.7	8.58316158001983e-12	4.614551309979302e-13	R
907.4	8.121706449021914e-12	4.366459932531626e-13	R
912.1	8.98767352297244e-12	4.832028413125035e-13	R
916.8	8.121706449021914e-12	4.366459932531626e-13	R
921.5	7.97346860013939e-12	4.286763057042105e-13	R
926.2	8.504470681659936e-12	4.57224484927428e-13	R
930.9	7.827936396921297e-12	4.887606385356289e-13	R
936.7	7.544792294435195e-12	4.056294506543288e-13	R
942.6	7.827936396921297e-12	4.887606385356289e-13	R
947.3	8.349246598193407e-12	4.4887919757587446e-13	R
953.1	7.475621222907199e-12	4.0191061749762796e-13	R
959.0	7.827936396921297e-12	4.887606385356289e-13	R
963.7	7.900367400617533e-12	4.932830850427665e-13	R
968.4	7.544792294435195e-12	4.710816890256246e-13	R
973.1	7.475621222907199e-12	4.667627861406308e-13	R
977.8	7.97346860013939e-12	4.978473772322071e-13	R
982.5	7.614603398007842e-12	4.754405542269755e-13	R
987.2	8.121706449021914e-12	4.366459932531626e-13	R
